DateTime,Players,Flags,Twitch Viewers,pos_sent_count,neg_sent_count,neu_sent_count
2015-11-01,5.0,,,,,
2015-11-02,,,,,,
2015-11-03,,,,,,
2015-11-04,,,,,,
2015-11-05,,,,,,
2015-11-06,,,,,,
2015-11-07,,,,,,
2015-11-08,,,,,,
2015-11-09,,,,,,
2015-11-10,,,,,,
2015-11-11,,,,,,
2015-11-12,,,,,,
2015-11-13,,,,,,
2015-11-14,,,,,,
2015-11-15,,,,,,
2015-11-16,,,,,,
2015-11-17,,,,,,
2015-11-18,,,,,,
2015-11-19,3.0,,,,,
2015-11-20,3.0,,,,,
2015-11-21,4.0,,,,,
2015-11-22,1.0,,,,,
2015-11-23,1.0,,,,,
2015-11-24,2.0,,,,,
2015-11-25,4.0,,,,,
2015-11-26,5.0,,,,,
2015-11-27,6.0,,,,,
2015-11-28,2.0,,,,,
2015-11-29,2.0,,,,,
2015-11-30,4.0,,,,,
2015-12-01,2.0,,,,,
2015-12-02,10.0,,,,,
2015-12-03,7.0,,,,,
2015-12-04,5.0,,,,,
2015-12-05,315.0,,,,,
2015-12-06,332.0,,,,,
2015-12-07,249.0,,,,,
2015-12-08,195.0,,,,,
2015-12-09,183.0,,,,,
2015-12-10,165.0,,,,,
2015-12-11,179.0,,,,,
2015-12-12,212.0,,,,,
2015-12-13,221.0,,,,,
2015-12-14,212.0,,,,,
2015-12-15,3543.0,,,,,
2015-12-16,2753.0,,,,,
2015-12-17,2971.0,,,,,
2015-12-18,2401.0,,,,,
2015-12-19,3184.0,,,,,
2015-12-20,3231.0,,,,,
2015-12-21,2927.0,,,,,
2015-12-22,2694.0,,,,,
2015-12-23,2692.0,,,,,
2015-12-24,2563.0,,,,,
2015-12-25,2149.0,,,,,
2015-12-26,3305.0,,,,,
2015-12-27,3460.0,,,,,
2015-12-28,3431.0,,,,,
2015-12-29,3066.0,,,,,
2015-12-30,3018.0,,,,,
2015-12-31,3044.0,,,,,
2016-01-01,2957.0,,,,,
2016-01-02,2951.0,,,,,
2016-01-03,2853.0,,,,,
2016-01-04,2343.0,,,,,
2016-01-05,1996.0,,,,,
2016-01-06,1875.0,,,,,
2016-01-07,2008.0,,,,,
2016-01-08,2049.0,,,,,
2016-01-09,2433.0,,,,,
2016-01-10,2584.0,,,,,
2016-01-11,2159.0,,,,,
2016-01-12,2382.0,,,,,
2016-01-13,2188.0,,,,,
2016-01-14,2281.0,,,,,
2016-01-15,2655.0,,,,,
2016-01-16,2763.0,,,,,
2016-01-17,2729.0,,,,,
2016-01-18,2442.0,,,,,
2016-01-19,1992.0,,,,,
2016-01-20,1867.0,,,,,
2016-01-21,1486.0,,,,,
2016-01-22,2075.0,,,,,
2016-01-23,2171.0,,,,,
2016-01-24,2169.0,,,,,
2016-01-25,1800.0,,,,,
2016-01-26,1630.0,,,,,
2016-01-27,1304.0,,,,,
2016-01-28,1340.0,,,,,
2016-01-29,1367.0,,,,,
2016-01-30,1632.0,,,,,
2016-01-31,1630.0,,,,,
2016-02-01,1307.0,,,,,
2016-02-02,1237.0,,,,,
2016-02-03,1266.0,,,,,
2016-02-04,1776.0,,,,,
2016-02-05,1925.0,,,,,
2016-02-06,1999.0,,,,,
2016-02-07,1980.0,,,,,
2016-02-08,1784.0,,,,,
2016-02-09,1600.0,,,,,
2016-02-10,1472.0,,,,,
2016-02-11,1490.0,,,,,
2016-02-12,1571.0,,,,,
2016-02-13,1836.0,,,,,
2016-02-14,1790.0,,,,,
2016-02-15,1698.0,,,,,
2016-02-16,1348.0,,,,,
2016-02-17,1390.0,,,,,
2016-02-18,1312.0,,,,,
2016-02-19,1238.0,,,,,
2016-02-20,1376.0,,,,,
2016-02-21,1545.0,,,,,
2016-02-22,1159.0,,,,,
2016-02-23,1183.0,,,,,
2016-02-24,1184.0,,,,,
2016-02-25,1091.0,,,,,
2016-02-26,1295.0,,,,,
2016-02-27,1423.0,,,,,
2016-02-28,1518.0,,,,,
2016-02-29,1191.0,,,,,
2016-03-01,1193.0,,,,,
2016-03-02,1168.0,,,,,
2016-03-03,1191.0,,,,,
2016-03-04,1258.0,,,,,
2016-03-05,1483.0,,,,,
2016-03-06,1557.0,,,,,
2016-03-07,1106.0,,,,,
2016-03-08,973.0,,,,,
2016-03-09,953.0,,,,,
2016-03-10,885.0,,,,,
2016-03-11,1123.0,,,,,
2016-03-12,1146.0,,,,,
2016-03-13,1281.0,,,,,
2016-03-14,938.0,,,,,
2016-03-15,1019.0,,,,,
2016-03-16,906.0,,,,,
2016-03-17,868.0,,,,,
2016-03-18,987.0,,,,,
2016-03-19,1128.0,,,,,
2016-03-20,1199.0,,,,,
2016-03-21,990.0,,,,,
2016-03-22,1423.0,,,,,
2016-03-23,1136.0,,,,,
2016-03-24,1164.0,,,,,
2016-03-25,1208.0,,,,,
2016-03-26,1113.0,,,,,
2016-03-27,1372.0,,,,,
2016-03-28,1267.0,,,,,
2016-03-29,1076.0,,,,,
2016-03-30,1075.0,,,,,
2016-03-31,1057.0,,,,,
2016-04-01,1111.0,,,,,
2016-04-02,1216.0,,,,,
2016-04-03,1324.0,,,,,
2016-04-04,1092.0,,,,,
2016-04-05,912.0,,,,,
2016-04-06,883.0,,,,,
2016-04-07,895.0,,,,,
2016-04-08,741.0,,,,,
2016-04-09,1230.0,,,,,
2016-04-10,1294.0,,,,,
2016-04-11,960.0,,,,,
2016-04-12,957.0,,,,,
2016-04-13,862.0,,,,,
2016-04-14,916.0,,,,,
2016-04-15,981.0,,,,,
2016-04-16,1121.0,,,,,
2016-04-17,1217.0,,,,,
2016-04-18,933.0,,,,,
2016-04-19,944.0,,,,,
2016-04-20,877.0,,,,,
2016-04-21,846.0,,,,,
2016-04-22,887.0,,,,,
2016-04-23,947.0,,,,,
2016-04-24,1151.0,,,,,
2016-04-25,879.0,,,,,
2016-04-26,888.0,,,,,
2016-04-27,917.0,,,,,
2016-04-28,890.0,,,,,
2016-04-29,912.0,,,,,
2016-04-30,1012.0,,,,,
2016-05-01,1290.0,,,,,
2016-05-02,899.0,,,,,
2016-05-03,964.0,,,,,
2016-05-04,949.0,,,,,
2016-05-05,872.0,,,,,
2016-05-06,794.0,,,,,
2016-05-07,934.0,,,,,
2016-05-08,1131.0,,,,,
2016-05-09,845.0,,,,,
2016-05-10,904.0,,,,,
2016-05-11,857.0,,,,,
2016-05-12,843.0,,,,,
2016-05-13,877.0,,,,,
2016-05-14,904.0,,,,,
2016-05-15,1176.0,,,,,
2016-05-16,868.0,,,,,
2016-05-17,804.0,,,,,
2016-05-18,764.0,,,,,
2016-05-19,846.0,,,,,
2016-05-20,835.0,,,,,
2016-05-21,865.0,,,,,
2016-05-22,1035.0,,,,,
2016-05-23,813.0,,,,,
2016-05-24,739.0,,,,,
2016-05-25,739.0,,,,,
2016-05-26,1652.0,,,,,
2016-05-27,1334.0,,,,,
2016-05-28,1221.0,,,,,
2016-05-29,1376.0,,,,,
2016-05-30,1289.0,,,,,
2016-05-31,1047.0,,,,,
2016-06-01,959.0,,,,,
2016-06-02,910.0,,,,,
2016-06-03,1060.0,,,,,
2016-06-04,1077.0,,,,,
2016-06-05,1266.0,,,,,
2016-06-06,943.0,,,,,
2016-06-07,915.0,,,,,
2016-06-08,864.0,,,,,
2016-06-09,894.0,,,,,
2016-06-10,809.0,,,,,
2016-06-11,867.0,,,,,
2016-06-12,956.0,,,,,
2016-06-13,755.0,,,,,
2016-06-14,839.0,,,,,
2016-06-15,814.0,,,,,
2016-06-16,682.0,,,,,
2016-06-17,821.0,,,,,
2016-06-18,967.0,,,,,
2016-06-19,950.0,,,,,
2016-06-20,703.0,,,,,
2016-06-21,720.0,,,,,
2016-06-22,741.0,,,,,
2016-06-23,753.0,,,,,
2016-06-24,1046.0,,,,,
2016-06-25,1158.0,,,,,
2016-06-26,1513.0,,,,,
2016-06-27,1138.0,,,,,
2016-06-28,1406.0,,,,,
2016-06-29,1319.0,,,,,
2016-06-30,1086.0,,,,,
2016-07-01,1268.0,,,,,
2016-07-02,1212.0,,,,,
2016-07-03,1537.0,,,,,
2016-07-04,1659.0,,,,,
2016-07-05,1202.0,,,,,
2016-07-06,1123.0,,,,,
2016-07-07,930.0,,,,,
2016-07-08,1091.0,,,,,
2016-07-09,1144.0,,,,,
2016-07-10,1180.0,,,,,
2016-07-11,931.0,,,,,
2016-07-12,976.0,,,,,
2016-07-13,919.0,,,,,
2016-07-14,891.0,,,,,
2016-07-15,901.0,,,,,
2016-07-16,1003.0,,,,,
2016-07-17,1132.0,,,,,
2016-07-18,878.0,,,,,
2016-07-19,871.0,,,,,
2016-07-20,773.0,,,,,
2016-07-21,889.0,,,,,
2016-07-22,947.0,,,,,
2016-07-23,940.0,,,,,
2016-07-24,1100.0,,,,,
2016-07-25,885.0,,,,,
2016-07-26,846.0,,,,,
2016-07-27,847.0,,,,,
2016-07-28,717.0,,,,,
2016-07-29,898.0,,,,,
2016-07-30,920.0,,,,,
2016-07-31,1038.0,,,,,
2016-08-01,847.0,,,,,
2016-08-02,749.0,,,,,
2016-08-03,972.0,,,,,
2016-08-04,1101.0,,,,,
2016-08-05,1273.0,,,,,
2016-08-06,1341.0,,,,,
2016-08-07,2983.0,,,,,
2016-08-08,2576.0,,,,,
2016-08-09,2170.0,,,,,
2016-08-10,1897.0,,,,,
2016-08-11,1790.0,,,,,
2016-08-12,1548.0,,,,,
2016-08-13,1629.0,,,,,
2016-08-14,1704.0,,,,,
2016-08-15,1464.0,,,,,
2016-08-16,1302.0,,,,,
2016-08-17,1156.0,,,,,
2016-08-18,1167.0,,,,,
2016-08-19,1318.0,,,,,
2016-08-20,1467.0,,,,,
2016-08-21,1540.0,,,,,
2016-08-22,1203.0,,,,,
2016-08-23,1095.0,,,,,
2016-08-24,1059.0,,,,,
2016-08-25,1064.0,,,,,
2016-08-26,858.0,,,,,
2016-08-27,1190.0,,,,,
2016-08-28,1393.0,,,,,
2016-08-29,1130.0,,,,,
2016-08-30,891.0,,,,,
2016-08-31,775.0,,,,,
2016-09-01,747.0,,,,,
2016-09-02,874.0,,,,,
2016-09-03,836.0,,,,,
2016-09-04,1081.0,,,,,
2016-09-05,639.0,,,,,
2016-09-06,814.0,,,,,
2016-09-07,712.0,,,,,
2016-09-08,753.0,,,,,
2016-09-09,912.0,,,,,
2016-09-10,943.0,,,,,
2016-09-11,1074.0,,,,,
2016-09-12,798.0,,,,,
2016-09-13,757.0,,,,,
2016-09-14,818.0,,,,,
2016-09-15,764.0,,,,,
2016-09-16,885.0,,,,,
2016-09-17,1032.0,,,,,
2016-09-18,1067.0,,,,,
2016-09-19,798.0,,,,,
2016-09-20,927.0,,,,,
2016-09-21,927.0,,,,,
2016-09-22,840.0,,,,,
2016-09-23,896.0,,,,,
2016-09-24,1109.0,,,,,
2016-09-25,1187.0,,,,,
2016-09-26,938.0,,,,,
2016-09-27,850.0,,,,,
2016-09-28,811.0,,,,,
2016-09-29,839.0,,,,,
2016-09-30,1019.0,,,,,
2016-10-01,1094.0,,,,,
2016-10-02,1255.0,,,,,
2016-10-03,961.0,,,,,
2016-10-04,936.0,,,,,
2016-10-05,927.0,,,,,
2016-10-06,961.0,,,,,
2016-10-07,1008.0,,,,,
2016-10-08,1139.0,,,,,
2016-10-09,1220.0,,,,,
2016-10-10,914.0,,,,,
2016-10-11,954.0,,,,,
2016-10-12,851.0,,,,,
2016-10-13,844.0,,,,,
2016-10-14,965.0,,,,,
2016-10-15,1037.0,,,,,
2016-10-16,1343.0,,,,,
2016-10-17,944.0,,,,,
2016-10-18,1004.0,,,,,
2016-10-19,916.0,,,,,
2016-10-20,872.0,,,,,
2016-10-21,852.0,,,,,
2016-10-22,917.0,,,,,
