DateTime,Players,neg_sent_count,neu_sent_count,pos_sent_count,Twitch_Viewers,pos_dist
11/1/2015,5,0,0,0,0,0
11/2/2015,0,0,0,0,0,0
11/3/2015,0,0,0,0,0,0
11/4/2015,0,0,0,0,0,0
11/5/2015,0,0,0,0,0,0
11/6/2015,0,0,0,0,0,0
11/7/2015,0,0,0,0,0,0
11/8/2015,0,0,0,0,0,0
11/9/2015,0,0,0,0,0,0
11/10/2015,0,0,0,0,0,0
11/11/2015,0,0,0,0,0,0
11/12/2015,0,0,0,0,0,0
11/13/2015,0,0,0,0,0,0
11/14/2015,0,0,0,0,0,0
11/15/2015,0,0,0,0,0,0
11/16/2015,0,0,0,0,0,0
11/17/2015,0,0,0,0,0,0
11/18/2015,0,0,0,0,0,0
11/19/2015,3,0,0,0,0,0
11/20/2015,3,0,0,0,0,0
11/21/2015,4,0,0,0,0,0
11/22/2015,1,0,0,0,0,0
11/23/2015,1,0,0,0,0,0
11/24/2015,2,0,0,0,0,0
11/25/2015,4,0,0,0,0,0
11/26/2015,5,0,0,0,0,0
11/27/2015,6,0,0,0,0,0
11/28/2015,2,0,0,0,0,0
11/29/2015,2,0,0,0,0,0
11/30/2015,4,0,0,0,0,0
12/1/2015,2,0,0,0,0,0
12/2/2015,10,0,0,0,0,0
12/3/2015,7,0,0,0,0,0
12/4/2015,5,0,0,0,0,0
12/5/2015,315,0,0,0,0,0
12/6/2015,332,0,0,0,0,0
12/7/2015,249,0,0,0,0,0
12/8/2015,195,0,0,0,0,0
12/9/2015,183,0,0,0,0,0
12/10/2015,165,0,0,0,0,0
12/11/2015,179,0,0,0,0,0
12/12/2015,212,0,0,0,0,0
12/13/2015,221,0,0,0,0,0
12/14/2015,212,0,0,0,0,0
12/15/2015,3543,31,44,185,0,0.711538462
12/16/2015,2753,31,31,86,0,0.581081081
12/17/2015,2971,13,18,48,0,0.607594937
12/18/2015,2401,18,13,35,0,0.53030303
12/19/2015,3184,16,11,36,0,0.571428571
12/20/2015,3231,18,13,36,0,0.537313433
12/21/2015,2927,12,22,27,0,0.442622951
12/22/2015,2694,11,15,31,0,0.543859649
12/23/2015,2692,16,13,36,0,0.553846154
12/24/2015,2563,10,10,24,0,0.545454545
12/25/2015,2149,7,6,16,0,0.551724138
12/26/2015,3305,16,13,28,0,0.49122807
12/27/2015,3460,19,11,21,0,0.411764706
12/28/2015,3431,15,7,27,0,0.551020408
12/29/2015,3066,10,14,24,0,0.5
12/30/2015,3018,12,8,21,0,0.512195122
12/31/2015,3044,8,7,12,0,0.444444444
1/1/2016,2957,2,11,21,0,0.617647059
1/2/2016,2951,6,9,16,0,0.516129032
1/3/2016,2853,9,6,20,0,0.571428571
1/4/2016,2343,5,7,21,0,0.636363636
1/5/2016,1996,7,3,9,0,0.473684211
1/6/2016,1875,4,8,15,0,0.555555556
1/7/2016,2008,7,5,14,0,0.538461538
1/8/2016,2049,3,4,21,0,0.75
1/9/2016,2433,5,8,13,0,0.5
1/10/2016,2584,5,8,14,0,0.518518519
1/11/2016,2159,11,6,18,0,0.514285714
1/12/2016,2382,9,6,13,0,0.464285714
1/13/2016,2188,5,6,11,0,0.5
1/14/2016,2281,11,8,13,0,0.40625
1/15/2016,2655,6,13,20,0,0.512820513
1/16/2016,2763,6,4,15,0,0.6
1/17/2016,2729,9,5,5,0,0.263157895
1/18/2016,2442,6,6,10,0,0.454545455
1/19/2016,1992,2,2,4,0,0.5
1/20/2016,1867,3,4,7,0,0.5
1/21/2016,1486,5,4,8,0,0.470588235
1/22/2016,2075,7,2,4,0,0.307692308
1/23/2016,2171,4,3,8,0,0.533333333
1/24/2016,2169,5,1,6,0,0.5
1/25/2016,1800,1,4,10,0,0.666666667
1/26/2016,1630,3,0,5,0,0.625
1/27/2016,1304,4,0,3,0,0.428571429
1/28/2016,1340,1,2,4,0,0.571428571
1/29/2016,1367,4,2,9,0,0.6
1/30/2016,1632,2,4,8,0,0.571428571
1/31/2016,1630,1,2,5,0,0.625
2/1/2016,1307,1,2,5,0,0.625
2/2/2016,1237,3,0,5,0,0.625
2/3/2016,1266,0,2,2,0,0.5
2/4/2016,1776,4,2,9,0,0.6
2/5/2016,1925,1,4,6,0,0.545454545
2/6/2016,1999,1,1,5,0,0.714285714
2/7/2016,1980,4,4,5,0,0.384615385
2/8/2016,1784,1,4,11,0,0.6875
2/9/2016,1600,2,0,6,0,0.75
2/10/2016,1472,0,1,4,0,0.8
2/11/2016,1490,1,3,3,0,0.428571429
2/12/2016,1571,2,3,5,0,0.5
2/13/2016,1836,6,1,8,0,0.533333333
2/14/2016,1790,6,3,5,0,0.357142857
2/15/2016,1698,2,4,8,0,0.571428571
2/16/2016,1348,1,5,3,0,0.333333333
2/17/2016,1390,3,3,1,0,0.142857143
2/18/2016,1312,2,4,4,0,0.4
2/19/2016,1238,0,2,1,0,0.333333333
2/20/2016,1376,4,1,4,0,0.444444444
2/21/2016,1545,3,3,0,0,0
2/22/2016,1159,1,1,5,0,0.714285714
2/23/2016,1183,0,3,3,0,0.5
2/24/2016,1184,1,2,5,0,0.625
2/25/2016,1091,1,2,3,0,0.5
2/26/2016,1295,1,1,6,0,0.75
2/27/2016,1423,5,3,4,0,0.333333333
2/28/2016,1518,3,5,6,0,0.428571429
2/29/2016,1191,2,1,7,0,0.7
3/1/2016,1193,2,1,7,0,0.7
3/2/2016,1168,1,4,3,0,0.375
3/3/2016,1191,1,0,2,0,0.666666667
3/4/2016,1258,2,3,6,0,0.545454545
3/5/2016,1483,3,0,2,0,0.4
3/6/2016,1557,1,1,5,0,0.714285714
3/7/2016,1106,0,1,3,0,0.75
3/8/2016,973,0,1,4,0,0.8
3/9/2016,953,2,0,6,0,0.75
3/10/2016,885,0,1,4,0,0.8
3/11/2016,1123,2,1,4,0,0.571428571
3/12/2016,1146,3,1,4,0,0.5
3/13/2016,1281,1,0,4,0,0.8
3/14/2016,938,2,2,3,0,0.428571429
3/15/2016,1019,1,0,0,0,0
3/16/2016,906,2,0,2,0,0.5
3/17/2016,868,1,1,4,0,0.666666667
3/18/2016,987,1,1,3,0,0.6
3/19/2016,1128,1,0,4,0,0.8
3/20/2016,1199,2,0,2,0,0.5
3/21/2016,990,2,2,0,0,0
3/22/2016,1423,1,0,3,0,0.75
3/23/2016,1136,2,0,1,0,0.333333333
3/24/2016,1164,0,1,3,0,0.75
3/25/2016,1208,1,0,5,0,0.833333333
3/26/2016,1113,1,3,0,0,0
3/27/2016,1372,4,2,6,0,0.5
3/28/2016,1267,0,2,3,0,0.6
3/29/2016,1076,2,1,0,0,0
3/30/2016,1075,0,1,4,0,0.8
3/31/2016,1057,0,0,7,0,1
4/1/2016,1111,2,2,1,0,0.2
4/2/2016,1216,1,4,1,0,0.166666667
4/3/2016,1324,1,2,7,0,0.7
4/4/2016,1092,3,0,3,0,0.5
4/5/2016,912,2,1,2,0,0.4
4/6/2016,883,1,0,4,0,0.8
4/7/2016,895,4,1,4,0,0.444444444
4/8/2016,741,3,2,1,0,0.166666667
4/9/2016,1230,3,1,4,0,0.5
4/10/2016,1294,1,0,4,0,0.8
4/11/2016,960,3,3,7,0,0.538461538
4/12/2016,957,3,0,3,0,0.5
4/13/2016,862,2,1,1,0,0.25
4/14/2016,916,2,1,2,0,0.4
4/15/2016,981,0,0,6,0,1
4/16/2016,1121,1,2,1,0,0.25
4/17/2016,1217,3,1,2,0,0.333333333
4/18/2016,933,2,0,3,0,0.6
4/19/2016,944,2,2,1,0,0.2
4/20/2016,877,0,3,2,0,0.4
4/21/2016,846,2,2,0,0,0
4/22/2016,887,0,1,0,0,0
4/23/2016,947,3,3,1,0,0.142857143
4/24/2016,1151,2,1,1,0,0.25
4/25/2016,879,1,3,1,0,0.2
4/26/2016,888,3,0,3,0,0.5
4/27/2016,917,0,0,4,0,1
4/28/2016,890,0,2,0,0,0
4/29/2016,912,1,2,2,0,0.4
4/30/2016,1012,3,1,5,0,0.555555556
5/1/2016,1290,0,1,5,0,0.833333333
5/2/2016,899,3,0,6,0,0.666666667
5/3/2016,964,2,2,2,0,0.333333333
5/4/2016,949,2,0,8,0,0.8
5/5/2016,872,1,2,5,0,0.625
5/6/2016,794,1,0,1,0,0.5
5/7/2016,934,0,1,2,0,0.666666667
5/8/2016,1131,0,0,2,0,1
5/9/2016,845,1,3,1,0,0.2
5/10/2016,904,2,2,5,0,0.555555556
5/11/2016,857,3,1,3,0,0.428571429
5/12/2016,843,1,0,2,0,0.666666667
5/13/2016,877,1,4,2,0,0.285714286
5/14/2016,904,1,2,2,0,0.4
5/15/2016,1176,1,1,4,0,0.666666667
5/16/2016,868,1,3,1,0,0.2
5/17/2016,804,1,2,2,0,0.4
5/18/2016,764,0,1,1,0,0.5
5/19/2016,846,1,2,5,0,0.625
5/20/2016,835,0,0,3,0,1
5/21/2016,865,3,3,5,0,0.454545455
5/22/2016,1035,1,1,1,0,0.333333333
5/23/2016,813,1,1,6,0,0.75
5/24/2016,739,0,1,0,0,0
5/25/2016,739,0,1,2,0,0.666666667
5/26/2016,1652,0,0,5,0,1
5/27/2016,1334,0,3,3,0,0.5
5/28/2016,1221,3,3,2,0,0.25
5/29/2016,1376,2,1,1,0,0.25
5/30/2016,1289,0,1,2,0,0.666666667
5/31/2016,1047,0,1,2,0,0.666666667
6/1/2016,959,1,0,5,0,0.833333333
6/2/2016,910,2,1,2,0,0.4
6/3/2016,1060,1,3,4,0,0.5
6/4/2016,1077,5,0,6,0,0.545454545
